"",0.0
"American (New), Fast Food",3.86412775807723
"American (New), Fast Food, Wraps",3.92307692307692
"American (New), Filipino",4.0079575596817
"American (New), Filipino, Asian Fusion",4.46969696969697
"American (New), Fish & Chips, Burgers",4.23076923076923
"American (New), Food Delivery Services, Personal Chefs",4.8
"American (New), Food Stands, Food Trucks",4.33333333333333
"American (New), Food Trucks",4.26825951825952
"American (New), Food, Breakfast & Brunch",3.81021897810219
"American (New), French",4.29440329728732
"American (New), French, Asian Fusion",4.54497354497355
"American (New), French, Bars",4.09276545846419
"American (New), French, Brasseries",3.75659229208925
"American (New), French, Breakfast & Brunch",4.53212026810158
"American (New), French, Cocktail Bars",3.85214676034348
"American (New), French, Italian",4.10918124006359
"American (New), French, Korean",4.6793893129771
"American (New), French, Modern European",3.66336633663366
"American (New), French, Seafood",4.28125
"American (New), French, Southern",4.4963768115942
"American (New), French, Steakhouses",3.9006968641115
"American (New), French, Tapas/Small Plates",4.35483870967742
"American (New), French, Wine Bars",4.11595973688726
"American (New), Gastropubs",4.0049479799591
"American (New), Gastropubs, American (Traditional)",3.27692307692308
"American (New), Gastropubs, Asian Fusion",4.31666666666667
"American (New), Gastropubs, Bars",3.7810672945609
"American (New), Gastropubs, Beer, Wine & Spirits",3.76785714285714
"American (New), Gastropubs, Breakfast & Brunch",4.34983146551696
"American (New), Gastropubs, Breweries",4.5049504950495
"American (New), Gastropubs, Brewpubs",4.19487870619946
"American (New), Gastropubs, Burgers",3.92304539532738
"American (New), Gastropubs, Cocktail Bars",4.24803072012693
"American (New), Gastropubs, Eatertainment",3.62136696925199
"American (New), Gastropubs, Irish Pub",3.72631578947368
"American (New), Gastropubs, Karaoke",3.92537313432836
"American (New), Gastropubs, Pubs",4.21259842519685
"American (New), Gastropubs, Seafood",4.09067854113656
"American (New), Gastropubs, Sports Bars",3.51043604886336
"American (New), Gastropubs, Tacos",4.06456322912497
"American (New), Gastropubs, Tapas Bars",3.96879535558781
"American (New), Gastropubs, Tiki Bars",4.13527851458886
"American (New), Gastropubs, Venues & Event Spaces",3.81756756756757
"American (New), Gastropubs, Whiskey Bars",4.11415525114155
"American (New), Gastropubs, Wine Bars",4.39942528735632
"American (New), Gay Bars, Breakfast & Brunch",3.17307692307692
"American (New), German, Sandwiches",3.90769230769231
"American (New), Gluten-Free",3.74356423338275
"American (New), Gluten-Free, Breakfast & Brunch",4.10635483003312
"American (New), Gluten-Free, Cocktail Bars",3.83776595744681
"American (New), Gluten-Free, Comfort Food",4.60115606936416
"American (New), Gluten-Free, Desserts",4.16413793103448
"American (New), Gluten-Free, Do-It-Yourself Food",4.6
"American (New), Gluten-Free, Fast Food",3.98058252427184
"American (New), Gluten-Free, Italian",4.29304029304029
"American (New), Gluten-Free, Juice Bars & Smoothies",4.35263157894737
"American (New), Gluten-Free, Vegan",3.9051420586074
"American (New), Gluten-Free, Vegetarian",4.16331964238614
"American (New), Golf, Sports Bars",3.63178523259445
"American (New), Greek",4.5
"American (New), Greek, Fast Food",4.46846846846847
"American (New), Greek, Mediterranean",4.10975609756098
"American (New), Greek, Sandwiches",4.46666666666667
"American (New), Haitian",3.90909090909091
"American (New), Halal",3.33333333333333
"American (New), Halal, Middle Eastern",3.91620111731844
"American (New), Hawaiian",3.31468531468531
"American (New), Health Markets",4.125
"American (New), Hot Dogs, Burgers",3.66165413533835
"American (New), Ice Cream & Frozen Yogurt",3.72307692307692
"American (New), Ice Cream & Frozen Yogurt, Desserts",4.8
"American (New), Indian, African",4.56410256410256
"American (New), Indian, Bars",4.10626702997275
"American (New), Irish",4.36
"American (New), Irish Pub",3.15801886792453
